Country,Category,ForeignInvestment,Date,FinancialYear
China,Agriculture and Forestry,12,2005,2004-2005
China,Construction,53.88,2005,2004-2005
China,Manufacturing,2.95,2005,2004-2005
India,Manufacturing,5,2005,2004-2005
Netherlands,Manufacturing,15.3,2005,2004-2005
India,Manufacturing,11.79,2005,2004-2005
India,Manufacturing,10,2005,2004-2005
India,Manufacturing,116,2005,2004-2005
China,Manufacturing,30,2005,2004-2005
France,Manufacturing,60,2005,2004-2005
Germany,Manufacturing,10,2005,2004-2005
India,Manufacturing,8,2005,2004-2005
India,Manufacturing,30,2005,2004-2005
India,Service,504.56,2005,2004-2005
Austria,Service,5,2005,2004-2005
India,Service,2.5,2005,2004-2005
Germany,Service,0.99,2005,2004-2005
USA,Service,2.5,2005,2004-2005
China,Service,5,2005,2004-2005
Germany,Service,5,2005,2004-2005
UK,Service,73.11,2005,2004-2005
China,Service,100.98,2005,2004-2005
India,Service,5,2005,2004-2005
India,Service,2.03,2005,2004-2005
Turkey,Service,3,2005,2004-2005
Japan,Service,2.5,2005,2004-2005
Japan,Service,2.34,2005,2004-2005
Russia,Service,2.1,2005,2004-2005
UK,Tourism,7.53,2005,2004-2005
S. Korea,Tourism,2.5,2005,2004-2005
Belgium,Tourism,2.5,2005,2004-2005
Japan,Tourism,2,2005,2004-2005
Belgium,Tourism,3.67,2005,2004-2005
Japan,Tourism,2.5,2005,2004-2005
S. Korea,Tourism,3,2005,2004-2005
Italy,Tourism,5,2005,2004-2005
China,Tourism,2.5,2005,2004-2005
India,Construction,45.3,2006,2005-2006
Spain,Construction,36,2006,2005-2006
Germany,Energy,20,2006,2005-2006
Germany,Energy,100,2006,2005-2006
India,Manufacturing,25,2006,2005-2006
India,Manufacturing,15,2006,2005-2006
UK,Manufacturing,17,2006,2005-2006
Japan,Manufacturing,2.5,2006,2005-2006
India,Manufacturing,2,2006,2005-2006
India,Manufacturing,199.37,2006,2005-2006
China,Manufacturing,26,2006,2005-2006
Sweden,Manufacturing,1.5,2006,2005-2006
China,Manufacturing,8.17,2006,2005-2006
Malaysia,Manufacturing,60,2006,2005-2006
India,Manufacturing,80,2006,2005-2006
France,Manufacturing,4.98,2006,2005-2006
Japan,Manufacturing,3.5,2006,2005-2006
India,Manufacturing,119.71,2006,2005-2006
China,Manufacturing,8.8,2006,2005-2006
India,Manufacturing,15.38,2006,2005-2006
China,Manufacturing,87.65,2006,2005-2006
India,Manufacturing,41,2006,2005-2006
China,Manufacturing,130,2006,2005-2006
India,Manufacturing,42.71,2006,2005-2006
India,Manufacturing,6.25,2006,2005-2006
India,Manufacturing,9,2006,2005-2006
India,Manufacturing,16,2006,2005-2006
India,Manufacturing,158,2006,2005-2006
India,Manufacturing,40,2006,2005-2006
India,Manufacturing,160,2006,2005-2006
Russia,Service,33,2006,2005-2006
India,Service,5,2006,2005-2006
S. Korea,Service,5,2006,2005-2006
Netherlands,Service,2.8,2006,2005-2006
India,Service,18.46,2006,2005-2006
S. Korea,Service,3.32,2006,2005-2006
India,Service,2.5,2006,2005-2006
Belgium,Service,3.5,2006,2005-2006
UK,Service,3,2006,2005-2006
China,Service,7.21,2006,2005-2006
India,Service,5,2006,2005-2006
Japan,Service,5,2006,2005-2006
Japan,Service,5,2006,2005-2006
China,Service,2,2006,2005-2006
Philippines,Service,2.5,2006,2005-2006
Poland,Service,2.5,2006,2005-2006
Iran,Service,2,2006,2005-2006
USA,Service,5,2006,2005-2006
China,Service,3.5,2006,2005-2006
UK,Service,380,2006,2005-2006
Japan,Service,5,2006,2005-2006
Canada,Service,2.5,2006,2005-2006
Japan,Service,4,2006,2005-2006
Iran,Service,2.4,2006,2005-2006
India,Service,600,2006,2005-2006
Netherlands,Service,5.6,2006,2005-2006
Belgium,Service,3.1,2006,2005-2006
India,Service,112.08,2006,2005-2006
China,Service,8.4,2006,2005-2006
Germany,Service,2.5,2006,2005-2006
India,Tourism,5,2006,2005-2006
China,Tourism,10,2006,2005-2006
India,Tourism,8,2006,2005-2006
S. Korea,Tourism,2.06,2006,2005-2006
China,Tourism,3.4,2006,2005-2006
USA,Tourism,10,2006,2005-2006
China,Tourism,8,2006,2005-2006
China,Tourism,10,2006,2005-2006
China,Tourism,3.4,2006,2005-2006
USA,Tourism,5,2006,2005-2006
Japan,Tourism,2.4,2006,2005-2006
China,Tourism,10,2006,2005-2006
China,Tourism,4.5,2006,2005-2006
UK,Tourism,5.25,2006,2005-2006
USA,Tourism,30,2006,2005-2006
Japan,Tourism,7.53,2006,2005-2006
UK,Tourism,1.58,2006,2005-2006
India,Tourism,6,2006,2005-2006
UK,Tourism,2.48,2006,2005-2006
Bangladesh,Tourism,2.5,2006,2005-2006
Spain,Tourism,7.5,2006,2005-2006
Switzerland,Tourism,10,2006,2005-2006
UK,Tourism,10,2006,2005-2006
UK,Tourism,3,2006,2005-2006
Pakistan,Tourism,5.41,2006,2005-2006
Australia,,3.2,2007,2006-2007
Australia,,9,2007,2006-2007
Belgium,,4.5,2007,2006-2007
Canada,,86.51,2007,2006-2007
China,,263.13,2007,2006-2007
France,,12.93,2007,2006-2007
Finland,,5,2007,2006-2007
Germany,,36.55,2007,2006-2007
Holand,,1.79,2007,2006-2007
India,,1719.54,2007,2006-2007
Ireland,,3.96,2007,2006-2007
Israel,,1.5,2007,2006-2007
Italy,,4.5,2007,2006-2007
Japan,,59.09,2007,2006-2007
Libiya,,5,2007,2006-2007
Mexico,,5.33,2007,2006-2007
Netherlands,,13.23,2007,2006-2007
Philippines,,2,2007,2006-2007
Russia,,5.03,2007,2006-2007
S. Korea,,60,2007,2006-2007
Switzerland,,1.5,2007,2006-2007
UAE,,35,2007,2006-2007
UK,,52.04,2007,2006-2007
Ukraine,,1.7,2007,2006-2007
USA,,60.1,2007,2006-2007
India,Agriculture and Forestry,3.3,2008,2007-2008
India,Agriculture and Forestry,6,2008,2007-2008
India,Agriculture and Forestry,40,2008,2007-2008
S. Korea,Agriculture and Forestry,9.4,2008,2007-2008
S. Korea,Agriculture and Forestry,5,2008,2007-2008
Bangladesh,Agriculture and Forestry,5,2008,2007-2008
Spain,Agriculture and Forestry,7,2008,2007-2008
UK,Agriculture and Forestry,5,2008,2007-2008
Russia,Construction,1150,2008,2007-2008
China,Construction,39.4,2008,2007-2008
UK,Construction,160,2008,2007-2008
Colombia,Construction,50,2008,2007-2008
Poland,Construction,59.08,2008,2007-2008
Israel,Construction,50,2008,2007-2008
India,Construction,250,2008,2007-2008
Ireland,Construction,10,2008,2007-2008
Kyrgystan,Construction,30,2008,2007-2008
India,Energy,1990,2008,2007-2008
N. Korea,Energy,450,2008,2007-2008
Sweden,Energy,250,2008,2007-2008
Iran,Energy,3398.12,2008,2007-2008
UK,Energy,8,2008,2007-2008
S. Korea,Energy,700,2008,2007-2008
UK,Energy,50,2008,2007-2008
USA,Manufacturing,440.16,2008,2007-2008
S. Korea,Manufacturing,100,2008,2007-2008
USA,Manufacturing,5,2008,2007-2008
Germany,Manufacturing,7.5,2008,2007-2008
S. Korea,Manufacturing,3.8,2008,2007-2008
USA,Manufacturing,2,2008,2007-2008
Australia,Manufacturing,6.83,2008,2007-2008
India,Manufacturing,7.5,2008,2007-2008
India,Manufacturing,5,2008,2007-2008
Norway,Manufacturing,50,2008,2007-2008
Germany,Manufacturing,6,2008,2007-2008
India,Manufacturing,30,2008,2007-2008
UK,Manufacturing,2.45,2008,2007-2008
China,Manufacturing,2,2008,2007-2008
Canada,Manufacturing,25,2008,2007-2008
Australia,Manufacturing,6,2008,2007-2008
Japan,Manufacturing,5,2008,2007-2008
UK,Manufacturing,10,2008,2007-2008
Germany,Manufacturing,9.9,2008,2007-2008
S. Korea,Manufacturing,9,2008,2007-2008
Germany,Manufacturing,500,2008,2007-2008
Australia,Manufacturing,40,2008,2007-2008
USA,Manufacturing,39.5,2008,2007-2008
Italy,Manufacturing,70,2008,2007-2008
India,Manufacturing,30,2008,2007-2008
China,Manufacturing,2.5,2008,2007-2008
